placekey,location_name,latitude,longitude,street_address,city,region,zip,brands,safegraph_brand_ids,naics_code,wkt_area_sq_meters,date_range_start,poi_cbg,tract
zzy-224@8gg-t38-pqf,The Dog Wizard Greenville,35.020544,-82.413978,6 Pine Hill Dr,Travelers Rest,SC,29690,,,812910,216,2020-01-01,450450039041,45045003904
222-223@8g7-479-2kz,Lifeline Animal Project,33.778859,-84.427935,860 Marietta Blvd NW,Atlanta,GA,30318,,,812910,1188,2020-01-01,131210007002,13121000700
zzy-228@8gg-98s-435,Scruffy to Fluffy Pet Salon,36.232579,-80.709453,111 E Main St,Boonville,NC,27011,,,812910,443,2020-01-01,371970502002,37197050200
22t-222@63r-7zb-5pv,Arlington Dog Nanny,38.859016,-77.092138,1210 S Glebe Rd Unit 40961,Arlington,VA,22204,,,812910,2634,2020-01-01,510131026001,51013102600
224-223@63m-ny7-389,Calling All Paws,36.535356,-82.517655,2613 E Center St,Kingsport,TN,37664,,,812910,328,2020-01-01,471630408002,47163040800
222-222@5s5-j6m-7qz,Countryside Pet Resort and Spa,42.795114,-85.939141,1458 64th Ave,Zeeland,MI,49464,,,812910,267,2020-01-01,261390230023,26139023002
223-223@8gg-3gs-psq,Social Pet Hotel,35.198245,-80.79483,3814 Monroe Rd,Charlotte,NC,28205,,,812910,1289,2020-01-01,371190018012,37119001801
22f-222@62j-rrc-mc5,Fluff & Buff Boutique,42.652053,-71.434103,164 Westford Rd Ste 4,Tyngsboro,MA,1879,,,812910,1463,2020-01-01,250173131012,25017313101
22p-222@63v-6rw-68v,Animal House,41.395182,-82.107584,3151 Midway Mall,Elyria,OH,44035,,,812910,1229,2020-01-01,390930703004,39093070300
zzw-222@5z4-kvs-b6k,Redlands Animal Shelter,34.059577,-117.204121,504 Kansas St,Redlands,CA,92373,,,812910,168,2020-01-01,060710078002,06071007800
223-222@5qv-xkj-4qf,Petz Mania,33.003386,-96.85803,3585 Timberglen Rd,Dallas,TX,75287,,,812910,778,2020-01-01,481210216163,48121021616
zzy-222@5yv-hjy-t35,Marshalls,36.19919,-115.239956,2174 N Rainbow Blvd,Las Vegas,NV,89108,Marshalls,SG_BRAND_abfd923a6acfc93e81ba94b0310b47b2,448140,5784,2020-01-01,320030034191,32003003419
222-222@5q7-c2h-rrk,Cheyenne Animal Shelter,41.110596,-104.845861,800 Southwest Dr,Cheyenne,WY,82007,,,812910,2155,2020-01-01,560210003002,56021000300
223-222@5vh-ypf-c5z,K 9x Dog Training,37.359743,-120.568879,2050W Shuttle Dr,Atwater,CA,95301,,,812910,175,2020-01-01,060470005031,06047000503
